protocol,track,cluster_id,train_size,core_count,representative_train_record_ids,representative_word_terms,representative_char_ngrams,true_0,fake_1
canonical_random_group,novelty_detection,0,1092,1052.0,"[""true/10"", ""true/1001"", ""true/1005"", ""true/1006"", ""true/1008"", ""true/1013"", ""true/1014"", ""true/1015"", ""true/1016"", ""true/1019"", ""true/1022"", ""true/1026"", ""true/1031"", ""true/1034"", ""true/1037"", ""true/1040"", ""true/1042"", ""true/1043"", ""true/1047"", ""true/1048""]",[],[],,
canonical_random_group,novelty_detection,1,905,887.0,"[""true/1009"", ""true/1010"", ""true/1024"", ""true/1025"", ""true/1028"", ""true/1030"", ""true/1033"", ""true/1035"", ""true/1039"", ""true/1041"", ""true/1044"", ""true/1045"", ""true/1049"", ""true/1053"", ""true/1055"", ""true/1061"", ""true/1063"", ""true/1073"", ""true/1074"", ""true/1076""]",[],[],,
canonical_random_group,novelty_detection,2,5,1.0,"[""true/1911""]",[],[],,
canonical_random_group,novelty_detection,3,5,2.0,"[""true/3251"", ""true/3462""]",[],[],,
canonical_random_group,novelty_detection,4,5,1.0,"[""true/34""]",[],[],,
canonical_random_group,topic_discovery_kmeans,0,894,,"[""true/2053"", ""true/3541"", ""true/3264"", ""true/671"", ""true/1545""]","[""de"", ""que"", ""do"", ""em"", ""da"", ""no"", ""na"", ""para"", ""um"", ""com"", ""os""]","["" de"", ""de "", "" de "", ""os ""]",656.0,238.0
canonical_random_group,topic_discovery_kmeans,1,80,,"[""true/1525"", ""true/1052"", ""true/461"", ""true/2716"", ""true/3422""]","[""eldorado"", ""para ouvir"", ""clique"", ""clique aqui"", ""comentário"", ""ouvir"", ""aqui"", ""no play""]","["" eld"", "" eldo"", ""dorad"", ""ldora"", ""ldor"", ""eldor"", ""eldo""]",80.0,0.0
canonical_random_group,topic_discovery_kmeans,2,532,,"[""true/1015"", ""true/3028"", ""true/1803"", ""true/2087"", ""true/1256""]","[""lula"", ""ex"", ""ex presidente"", ""de"", ""moro"", ""juiz"", ""da"", ""presidente"", ""do"", ""que"", ""federal""]","["" lula"", "" lul"", ""lula"", ""lul""]",313.0,219.0
canonical_random_group,topic_discovery_kmeans,3,505,,"[""true/3056"", ""true/1241"", ""true/2080"", ""true/1569"", ""true/815""]","[""de"", ""da"", ""do"", ""que"", ""temer"", ""stf"", ""delação"", ""ministro"", ""presidente"", ""em"", ""federal"", ""lava"", ""lava jato"", ""jato""]","["" de""]",334.0,171.0
canonical_random_group,topic_discovery_kmeans,4,421,,"[""true/1337"", ""true/3437"", ""true/2592"", ""true/2514"", ""true/243""]","[""de"", ""temer"", ""câmara"", ""do"", ""que"", ""presidente"", ""da"", ""para"", ""deputados"", ""michel"", ""em"", ""michel temer"", ""deputado"", ""na""]","["" de""]",278.0,143.0
canonical_random_group,topic_discovery_kmeans,5,882,,"[""fake/1519"", ""fake/162"", ""fake/3234"", ""true/895"", ""true/2719""]","[""de"", ""que"", ""um"", ""do"", ""uma"", ""em"", ""da"", ""não"", ""no"", ""com"", ""na"", ""para""]","["" de"", ""de "", ""do ""]",310.0,572.0
